canal,run_idx,round_idx,accuracy,seed_run
text,0,0,0.0,42
text,0,1,0.0,42
text,0,2,0.0,42
text,0,3,0.0,42
text,0,4,0.0,42
text,0,5,0.0,42
text,0,6,0.0,42
text,0,7,0.0,42
text,0,8,0.0,42
text,0,9,0.0,42
text,0,10,0.0,42
text,0,11,0.0,42
text,0,12,0.0,42
text,0,13,0.0,42
text,0,14,0.0,42
text,0,15,0.0,42
text,0,16,0.0,42
text,0,17,0.0,42
text,0,18,0.0,42
text,0,19,0.0,42
text,0,20,0.0,42
text,0,21,0.0,42
text,0,22,0.0,42
text,0,23,0.0,42
text,0,24,0.0,42
text,0,25,0.0,42
text,0,26,0.0,42
text,0,27,0.0,42
text,0,28,0.0,42
text,0,29,0.0,42
text,0,30,0.0,42
text,0,31,0.0,42
text,0,32,0.0,42
text,0,33,0.0,42
text,0,34,0.0,42
text,0,35,0.0,42
text,0,36,0.0,42
text,0,37,0.0,42
text,0,38,0.0,42
text,0,39,0.0,42
text,0,40,0.0,42
text,0,41,0.0,42
text,0,42,0.0,42
text,0,43,0.0,42
text,0,44,0.0,42
text,0,45,0.0,42
text,0,46,0.0,42
text,0,47,0.0,42
text,0,48,0.0,42
text,0,49,0.0,42
text,1,0,0.0,43
text,1,1,0.0,43
text,1,2,0.0,43
text,1,3,0.0,43
text,1,4,0.0,43
text,1,5,0.0,43
text,1,6,0.0,43
text,1,7,0.0,43
text,1,8,0.0,43
text,1,9,0.0,43
text,1,10,0.0,43
text,1,11,0.0,43
text,1,12,0.0,43
text,1,13,0.0,43
text,1,14,0.0,43
text,1,15,0.0,43
text,1,16,0.0,43
text,1,17,0.0,43
text,1,18,0.0,43
text,1,19,0.0,43
text,1,20,0.0,43
text,1,21,0.0,43
text,1,22,0.0,43
text,1,23,0.0,43
text,1,24,0.0,43
text,1,25,0.0,43
text,1,26,0.0,43
text,1,27,0.0,43
text,1,28,0.0,43
text,1,29,0.0,43
text,1,30,0.0,43
text,1,31,0.0,43
text,1,32,0.0,43
text,1,33,0.0,43
text,1,34,0.0,43
text,1,35,0.0,43
text,1,36,0.0,43
text,1,37,0.0,43
text,1,38,0.0,43
text,1,39,0.0,43
text,1,40,0.0,43
text,1,41,0.0,43
text,1,42,0.0,43
text,1,43,0.0,43
text,1,44,0.0,43
text,1,45,0.0,43
text,1,46,0.0,43
text,1,47,0.0,43
text,1,48,0.0,43
text,1,49,0.0,43
text,2,0,0.0,44
text,2,1,0.0,44
text,2,2,0.0,44
text,2,3,0.0,44
text,2,4,0.0,44
text,2,5,0.0,44
text,2,6,0.0,44
text,2,7,0.0,44
text,2,8,0.0,44
text,2,9,0.0,44
text,2,10,0.0,44
text,2,11,0.0,44
text,2,12,0.0,44
text,2,13,0.0,44
text,2,14,0.0,44
text,2,15,0.0,44
text,2,16,0.0,44
text,2,17,0.0,44
text,2,18,0.0,44
text,2,19,0.0,44
text,2,20,0.0,44
text,2,21,0.0,44
text,2,22,0.0,44
text,2,23,0.0,44
text,2,24,0.0,44
text,2,25,0.0,44
text,2,26,0.0,44
text,2,27,0.0,44
text,2,28,0.0,44
text,2,29,0.0,44
text,2,30,0.0,44
text,2,31,0.0,44
text,2,32,0.0,44
text,2,33,0.0,44
text,2,34,0.0,44
text,2,35,0.0,44
text,2,36,0.0,44
text,2,37,0.0,44
text,2,38,0.0,44
text,2,39,0.0,44
text,2,40,0.0,44
text,2,41,0.0,44
text,2,42,0.0,44
text,2,43,0.0,44
text,2,44,0.0,44
text,2,45,0.0,44
text,2,46,0.0,44
text,2,47,0.0,44
text,2,48,0.0,44
text,2,49,0.0,44
text,3,0,0.0,45
text,3,1,0.0,45
text,3,2,0.0,45
text,3,3,0.0,45
text,3,4,0.0,45
text,3,5,0.0,45
text,3,6,0.0,45
text,3,7,0.0,45
text,3,8,0.0,45
text,3,9,0.0,45
text,3,10,0.0,45
text,3,11,0.0,45
text,3,12,0.0,45
text,3,13,0.0,45
text,3,14,0.0,45
text,3,15,0.0,45
text,3,16,0.0,45
text,3,17,0.0,45
text,3,18,0.0,45
text,3,19,0.0,45
text,3,20,0.0,45
text,3,21,0.0,45
text,3,22,0.0,45
text,3,23,0.0,45
text,3,24,0.0,45
text,3,25,0.0,45
text,3,26,0.0,45
text,3,27,0.0,45
text,3,28,0.0,45
text,3,29,0.0,45
text,3,30,0.0,45
text,3,31,0.0,45
text,3,32,0.0,45
text,3,33,0.0,45
text,3,34,0.0,45
text,3,35,0.0,45
text,3,36,0.0,45
text,3,37,0.0,45
text,3,38,0.0,45
text,3,39,0.0,45
text,3,40,0.0,45
text,3,41,0.0,45
text,3,42,0.0,45
text,3,43,0.0,45
text,3,44,0.0,45
text,3,45,0.0,45
text,3,46,0.0,45
text,3,47,0.0,45
text,3,48,0.0,45
text,3,49,0.0,45
text,4,0,0.0,46
text,4,1,0.0,46
text,4,2,0.0,46
text,4,3,0.0,46
text,4,4,0.0,46
text,4,5,0.0,46
text,4,6,0.0,46
text,4,7,0.0,46
text,4,8,0.0,46
text,4,9,0.0,46
text,4,10,0.0,46
text,4,11,0.0,46
text,4,12,0.0,46
text,4,13,0.0,46
text,4,14,0.0,46
text,4,15,0.0,46
text,4,16,0.0,46
text,4,17,0.0,46
text,4,18,0.0,46
text,4,19,0.0,46
text,4,20,0.0,46
text,4,21,0.0,46
text,4,22,0.0,46
text,4,23,0.0,46
text,4,24,0.0,46
text,4,25,0.0,46
text,4,26,0.0,46
text,4,27,0.0,46
text,4,28,0.0,46
text,4,29,0.0,46
text,4,30,0.0,46
text,4,31,0.0,46
text,4,32,0.0,46
text,4,33,0.0,46
text,4,34,0.0,46
text,4,35,0.0,46
text,4,36,0.0,46
text,4,37,0.0,46
text,4,38,0.0,46
text,4,39,0.0,46
text,4,40,0.0,46
text,4,41,0.0,46
text,4,42,0.0,46
text,4,43,0.0,46
text,4,44,1.0,46
text,4,45,1.0,46
text,4,46,1.0,46
text,4,47,1.0,46
text,4,48,1.0,46
text,4,49,1.0,46
text,5,0,0.0,47
text,5,1,0.0,47
text,5,2,0.0,47
text,5,3,0.0,47
text,5,4,0.0,47
text,5,5,0.0,47
text,5,6,0.0,47
text,5,7,0.0,47
text,5,8,0.0,47
text,5,9,0.0,47
text,5,10,0.0,47
text,5,11,0.0,47
text,5,12,0.0,47
text,5,13,0.0,47
text,5,14,0.0,47
text,5,15,0.0,47
text,5,16,0.0,47
text,5,17,0.0,47
text,5,18,0.0,47
text,5,19,0.0,47
text,5,20,0.0,47
text,5,21,0.0,47
text,5,22,0.0,47
text,5,23,0.0,47
text,5,24,0.0,47
text,5,25,0.0,47
text,5,26,0.0,47
text,5,27,0.0,47
text,5,28,0.0,47
text,5,29,0.0,47
text,5,30,0.0,47
text,5,31,0.0,47
text,5,32,0.0,47
text,5,33,0.0,47
text,5,34,0.0,47
text,5,35,0.0,47
text,5,36,0.0,47
text,5,37,0.0,47
text,5,38,0.0,47
text,5,39,0.0,47
text,5,40,0.0,47
text,5,41,0.0,47
text,5,42,0.0,47
text,5,43,0.0,47
text,5,44,0.0,47
text,5,45,0.0,47
text,5,46,0.0,47
text,5,47,0.0,47
text,5,48,0.0,47
text,5,49,0.0,47
text,6,0,0.0,48
text,6,1,0.0,48
text,6,2,0.0,48
text,6,3,0.0,48
text,6,4,0.0,48
text,6,5,0.0,48
text,6,6,0.0,48
text,6,7,0.0,48
text,6,8,0.0,48
text,6,9,0.0,48
text,6,10,0.0,48
text,6,11,0.0,48
text,6,12,0.0,48
text,6,13,0.0,48
text,6,14,0.0,48
text,6,15,0.0,48
text,6,16,0.0,48
text,6,17,0.0,48
text,6,18,0.0,48
text,6,19,0.0,48
text,6,20,0.0,48
text,6,21,0.0,48
text,6,22,0.0,48
text,6,23,0.0,48
text,6,24,0.0,48
text,6,25,0.0,48
text,6,26,0.0,48
text,6,27,0.0,48
text,6,28,0.0,48
text,6,29,0.0,48
text,6,30,0.0,48
text,6,31,0.0,48
text,6,32,0.0,48
text,6,33,0.0,48
text,6,34,0.0,48
text,6,35,0.0,48
text,6,36,0.0,48
text,6,37,0.0,48
text,6,38,0.0,48
text,6,39,0.0,48
text,6,40,0.0,48
text,6,41,0.0,48
text,6,42,0.0,48
text,6,43,0.0,48
text,6,44,0.0,48
text,6,45,0.0,48
text,6,46,0.0,48
text,6,47,0.0,48
text,6,48,0.0,48
text,6,49,0.0,48
text,7,0,0.0,49
text,7,1,0.0,49
text,7,2,0.0,49
text,7,3,0.0,49
text,7,4,0.0,49
text,7,5,0.0,49
text,7,6,0.0,49
text,7,7,0.0,49
text,7,8,0.0,49
text,7,9,0.0,49
text,7,10,0.0,49
text,7,11,0.0,49
text,7,12,0.0,49
text,7,13,0.0,49
text,7,14,0.0,49
text,7,15,0.0,49
text,7,16,0.0,49
text,7,17,0.0,49
text,7,18,0.0,49
text,7,19,0.0,49
text,7,20,0.0,49
text,7,21,0.0,49
text,7,22,0.0,49
text,7,23,0.0,49
text,7,24,0.0,49
text,7,25,0.0,49
text,7,26,0.0,49
text,7,27,0.0,49
text,7,28,0.0,49
text,7,29,0.0,49
text,7,30,0.0,49
text,7,31,0.0,49
text,7,32,0.0,49
text,7,33,0.0,49
text,7,34,0.0,49
text,7,35,0.0,49
text,7,36,0.0,49
text,7,37,0.0,49
text,7,38,0.0,49
text,7,39,0.0,49
text,7,40,0.0,49
text,7,41,0.0,49
text,7,42,0.0,49
text,7,43,0.0,49
text,7,44,0.0,49
text,7,45,0.0,49
text,7,46,0.0,49
text,7,47,0.0,49
text,7,48,0.0,49
text,7,49,0.0,49
text,8,0,0.0,50
text,8,1,0.0,50
text,8,2,0.0,50
text,8,3,0.0,50
text,8,4,0.0,50
text,8,5,0.0,50
text,8,6,0.0,50
text,8,7,0.0,50
text,8,8,0.0,50
text,8,9,0.0,50
text,8,10,0.0,50
text,8,11,0.0,50
text,8,12,0.0,50
text,8,13,0.0,50
text,8,14,0.0,50
text,8,15,0.0,50
text,8,16,0.0,50
text,8,17,0.0,50
text,8,18,0.0,50
text,8,19,0.0,50
text,8,20,0.0,50
text,8,21,0.0,50
text,8,22,0.0,50
text,8,23,0.0,50
text,8,24,0.0,50
text,8,25,0.0,50
text,8,26,0.0,50
text,8,27,0.0,50
text,8,28,0.0,50
text,8,29,0.0,50
text,8,30,0.0,50
text,8,31,0.0,50
text,8,32,0.0,50
text,8,33,0.0,50
text,8,34,0.0,50
text,8,35,0.0,50
text,8,36,0.0,50
text,8,37,0.0,50
text,8,38,0.0,50
text,8,39,0.0,50
text,8,40,0.0,50
text,8,41,0.0,50
text,8,42,0.0,50
text,8,43,0.0,50
text,8,44,0.0,50
text,8,45,0.0,50
text,8,46,0.0,50
text,8,47,0.0,50
text,8,48,0.0,50
text,8,49,0.0,50
text,9,0,0.0,51
text,9,1,0.0,51
text,9,2,0.0,51
text,9,3,0.0,51
text,9,4,0.0,51
text,9,5,0.0,51
text,9,6,0.0,51
text,9,7,0.0,51
text,9,8,0.0,51
text,9,9,0.0,51
text,9,10,0.0,51
text,9,11,0.0,51
text,9,12,0.0,51
text,9,13,0.0,51
text,9,14,0.0,51
text,9,15,0.0,51
text,9,16,0.0,51
text,9,17,0.0,51
text,9,18,0.0,51
text,9,19,0.0,51
text,9,20,0.0,51
text,9,21,0.0,51
text,9,22,0.0,51
text,9,23,0.0,51
text,9,24,0.0,51
text,9,25,0.0,51
text,9,26,0.0,51
text,9,27,0.0,51
text,9,28,0.0,51
text,9,29,0.0,51
text,9,30,0.0,51
text,9,31,0.0,51
text,9,32,0.0,51
text,9,33,0.0,51
text,9,34,0.0,51
text,9,35,0.0,51
text,9,36,0.0,51
text,9,37,0.0,51
text,9,38,0.0,51
text,9,39,0.0,51
text,9,40,0.0,51
text,9,41,0.0,51
text,9,42,0.0,51
text,9,43,0.0,51
text,9,44,0.0,51
text,9,45,0.0,51
text,9,46,0.0,51
text,9,47,0.0,51
text,9,48,0.0,51
text,9,49,0.0,51
latent,0,0,0.0,42
latent,0,1,0.0,42
latent,0,2,0.0,42
latent,0,3,1.0,42
latent,0,4,1.0,42
latent,0,5,1.0,42
latent,0,6,1.0,42
latent,0,7,1.0,42
latent,0,8,1.0,42
latent,0,9,1.0,42
latent,0,10,1.0,42
latent,0,11,1.0,42
latent,0,12,1.0,42
latent,0,13,1.0,42
latent,0,14,1.0,42
latent,0,15,1.0,42
latent,0,16,1.0,42
latent,0,17,1.0,42
latent,0,18,1.0,42
latent,0,19,1.0,42
latent,0,20,1.0,42
latent,0,21,1.0,42
latent,0,22,1.0,42
latent,0,23,1.0,42
latent,0,24,1.0,42
latent,0,25,1.0,42
latent,0,26,1.0,42
latent,0,27,1.0,42
latent,0,28,1.0,42
latent,0,29,1.0,42
latent,0,30,1.0,42
latent,0,31,1.0,42
latent,0,32,1.0,42
latent,0,33,1.0,42
latent,0,34,1.0,42
latent,0,35,1.0,42
latent,0,36,1.0,42
latent,0,37,1.0,42
latent,0,38,1.0,42
latent,0,39,1.0,42
latent,0,40,1.0,42
latent,0,41,1.0,42
latent,0,42,1.0,42
latent,0,43,1.0,42
latent,0,44,1.0,42
latent,0,45,1.0,42
latent,0,46,1.0,42
latent,0,47,1.0,42
latent,0,48,1.0,42
latent,0,49,1.0,42
latent,1,0,0.0,43
latent,1,1,1.0,43
latent,1,2,1.0,43
latent,1,3,1.0,43
latent,1,4,1.0,43
latent,1,5,1.0,43
latent,1,6,1.0,43
latent,1,7,1.0,43
latent,1,8,1.0,43
latent,1,9,1.0,43
latent,1,10,1.0,43
latent,1,11,1.0,43
latent,1,12,1.0,43
latent,1,13,1.0,43
latent,1,14,1.0,43
latent,1,15,1.0,43
latent,1,16,1.0,43
latent,1,17,1.0,43
latent,1,18,1.0,43
latent,1,19,1.0,43
latent,1,20,1.0,43
latent,1,21,1.0,43
latent,1,22,1.0,43
latent,1,23,1.0,43
latent,1,24,1.0,43
latent,1,25,1.0,43
latent,1,26,1.0,43
latent,1,27,1.0,43
latent,1,28,1.0,43
latent,1,29,1.0,43
latent,1,30,1.0,43
latent,1,31,1.0,43
latent,1,32,1.0,43
latent,1,33,1.0,43
latent,1,34,1.0,43
latent,1,35,1.0,43
latent,1,36,1.0,43
latent,1,37,1.0,43
latent,1,38,1.0,43
latent,1,39,1.0,43
latent,1,40,1.0,43
latent,1,41,1.0,43
latent,1,42,1.0,43
latent,1,43,1.0,43
latent,1,44,1.0,43
latent,1,45,1.0,43
latent,1,46,1.0,43
latent,1,47,1.0,43
latent,1,48,1.0,43
latent,1,49,1.0,43
latent,2,0,0.0,44
latent,2,1,1.0,44
latent,2,2,1.0,44
latent,2,3,1.0,44
latent,2,4,1.0,44
latent,2,5,1.0,44
latent,2,6,1.0,44
latent,2,7,1.0,44
latent,2,8,1.0,44
latent,2,9,1.0,44
latent,2,10,1.0,44
latent,2,11,1.0,44
latent,2,12,1.0,44
latent,2,13,1.0,44
latent,2,14,1.0,44
latent,2,15,1.0,44
latent,2,16,1.0,44
latent,2,17,1.0,44
latent,2,18,1.0,44
latent,2,19,1.0,44
latent,2,20,1.0,44
latent,2,21,1.0,44
latent,2,22,1.0,44
latent,2,23,1.0,44
latent,2,24,1.0,44
latent,2,25,1.0,44
latent,2,26,1.0,44
latent,2,27,1.0,44
latent,2,28,1.0,44
latent,2,29,1.0,44
latent,2,30,1.0,44
latent,2,31,1.0,44
latent,2,32,1.0,44
latent,2,33,1.0,44
latent,2,34,1.0,44
latent,2,35,1.0,44
latent,2,36,1.0,44
latent,2,37,1.0,44
latent,2,38,1.0,44
latent,2,39,1.0,44
latent,2,40,1.0,44
latent,2,41,1.0,44
latent,2,42,1.0,44
latent,2,43,1.0,44
latent,2,44,1.0,44
latent,2,45,1.0,44
latent,2,46,1.0,44
latent,2,47,1.0,44
latent,2,48,1.0,44
latent,2,49,1.0,44
latent,3,0,0.0,45
latent,3,1,1.0,45
latent,3,2,1.0,45
latent,3,3,1.0,45
latent,3,4,1.0,45
latent,3,5,1.0,45
latent,3,6,1.0,45
latent,3,7,1.0,45
latent,3,8,1.0,45
latent,3,9,1.0,45
latent,3,10,1.0,45
latent,3,11,1.0,45
latent,3,12,1.0,45
latent,3,13,1.0,45
latent,3,14,1.0,45
latent,3,15,1.0,45
latent,3,16,1.0,45
latent,3,17,1.0,45
latent,3,18,1.0,45
latent,3,19,1.0,45
latent,3,20,1.0,45
latent,3,21,1.0,45
latent,3,22,1.0,45
latent,3,23,1.0,45
latent,3,24,1.0,45
latent,3,25,1.0,45
latent,3,26,1.0,45
latent,3,27,1.0,45
latent,3,28,1.0,45
latent,3,29,1.0,45
latent,3,30,1.0,45
latent,3,31,1.0,45
latent,3,32,1.0,45
latent,3,33,1.0,45
latent,3,34,1.0,45
latent,3,35,1.0,45
latent,3,36,1.0,45
latent,3,37,1.0,45
latent,3,38,1.0,45
latent,3,39,1.0,45
latent,3,40,1.0,45
latent,3,41,1.0,45
latent,3,42,1.0,45
latent,3,43,1.0,45
latent,3,44,1.0,45
latent,3,45,1.0,45
latent,3,46,1.0,45
latent,3,47,1.0,45
latent,3,48,1.0,45
latent,3,49,1.0,45
latent,4,0,0.0,46
latent,4,1,1.0,46
latent,4,2,1.0,46
latent,4,3,1.0,46
latent,4,4,1.0,46
latent,4,5,1.0,46
latent,4,6,1.0,46
latent,4,7,1.0,46
latent,4,8,1.0,46
latent,4,9,1.0,46
latent,4,10,1.0,46
latent,4,11,1.0,46
latent,4,12,1.0,46
latent,4,13,1.0,46
latent,4,14,1.0,46
latent,4,15,1.0,46
latent,4,16,1.0,46
latent,4,17,1.0,46
latent,4,18,1.0,46
latent,4,19,1.0,46
latent,4,20,1.0,46
latent,4,21,1.0,46
latent,4,22,1.0,46
latent,4,23,1.0,46
latent,4,24,1.0,46
latent,4,25,1.0,46
latent,4,26,1.0,46
latent,4,27,1.0,46
latent,4,28,1.0,46
latent,4,29,1.0,46
latent,4,30,1.0,46
latent,4,31,1.0,46
latent,4,32,1.0,46
latent,4,33,1.0,46
latent,4,34,1.0,46
latent,4,35,1.0,46
latent,4,36,1.0,46
latent,4,37,1.0,46
latent,4,38,1.0,46
latent,4,39,1.0,46
latent,4,40,1.0,46
latent,4,41,1.0,46
latent,4,42,1.0,46
latent,4,43,1.0,46
latent,4,44,1.0,46
latent,4,45,1.0,46
latent,4,46,1.0,46
latent,4,47,1.0,46
latent,4,48,1.0,46
latent,4,49,1.0,46
latent,5,0,0.0,47
latent,5,1,1.0,47
latent,5,2,1.0,47
latent,5,3,1.0,47
latent,5,4,1.0,47
latent,5,5,1.0,47
latent,5,6,1.0,47
latent,5,7,1.0,47
latent,5,8,1.0,47
latent,5,9,1.0,47
latent,5,10,1.0,47
latent,5,11,1.0,47
latent,5,12,1.0,47
latent,5,13,1.0,47
latent,5,14,1.0,47
latent,5,15,1.0,47
latent,5,16,1.0,47
latent,5,17,1.0,47
latent,5,18,1.0,47
latent,5,19,1.0,47
latent,5,20,1.0,47
latent,5,21,1.0,47
latent,5,22,1.0,47
latent,5,23,1.0,47
latent,5,24,1.0,47
latent,5,25,1.0,47
latent,5,26,1.0,47
latent,5,27,1.0,47
latent,5,28,1.0,47
latent,5,29,1.0,47
latent,5,30,1.0,47
latent,5,31,1.0,47
latent,5,32,1.0,47
latent,5,33,1.0,47
latent,5,34,1.0,47
latent,5,35,1.0,47
latent,5,36,1.0,47
latent,5,37,1.0,47
latent,5,38,1.0,47
latent,5,39,1.0,47
latent,5,40,1.0,47
latent,5,41,1.0,47
latent,5,42,1.0,47
latent,5,43,1.0,47
latent,5,44,1.0,47
latent,5,45,1.0,47
latent,5,46,1.0,47
latent,5,47,1.0,47
latent,5,48,1.0,47
latent,5,49,1.0,47
latent,6,0,1.0,48
latent,6,1,1.0,48
latent,6,2,1.0,48
latent,6,3,1.0,48
latent,6,4,1.0,48
latent,6,5,1.0,48
latent,6,6,1.0,48
latent,6,7,1.0,48
latent,6,8,1.0,48
latent,6,9,1.0,48
latent,6,10,1.0,48
latent,6,11,1.0,48
latent,6,12,1.0,48
latent,6,13,1.0,48
latent,6,14,1.0,48
latent,6,15,1.0,48
latent,6,16,1.0,48
latent,6,17,1.0,48
latent,6,18,1.0,48
latent,6,19,1.0,48
latent,6,20,1.0,48
latent,6,21,1.0,48
latent,6,22,1.0,48
latent,6,23,1.0,48
latent,6,24,1.0,48
latent,6,25,1.0,48
latent,6,26,1.0,48
latent,6,27,1.0,48
latent,6,28,1.0,48
latent,6,29,1.0,48
latent,6,30,1.0,48
latent,6,31,1.0,48
latent,6,32,1.0,48
latent,6,33,1.0,48
latent,6,34,1.0,48
latent,6,35,1.0,48
latent,6,36,1.0,48
latent,6,37,1.0,48
latent,6,38,1.0,48
latent,6,39,1.0,48
latent,6,40,1.0,48
latent,6,41,1.0,48
latent,6,42,1.0,48
latent,6,43,1.0,48
latent,6,44,1.0,48
latent,6,45,1.0,48
latent,6,46,1.0,48
latent,6,47,1.0,48
latent,6,48,1.0,48
latent,6,49,1.0,48
latent,7,0,1.0,49
latent,7,1,1.0,49
latent,7,2,1.0,49
latent,7,3,1.0,49
latent,7,4,1.0,49
latent,7,5,1.0,49
latent,7,6,1.0,49
latent,7,7,1.0,49
latent,7,8,1.0,49
latent,7,9,1.0,49
latent,7,10,1.0,49
latent,7,11,1.0,49
latent,7,12,1.0,49
latent,7,13,1.0,49
latent,7,14,1.0,49
latent,7,15,1.0,49
latent,7,16,1.0,49
latent,7,17,1.0,49
latent,7,18,1.0,49
latent,7,19,1.0,49
latent,7,20,1.0,49
latent,7,21,1.0,49
latent,7,22,1.0,49
latent,7,23,1.0,49
latent,7,24,1.0,49
latent,7,25,1.0,49
latent,7,26,1.0,49
latent,7,27,1.0,49
latent,7,28,1.0,49
latent,7,29,1.0,49
latent,7,30,1.0,49
latent,7,31,1.0,49
latent,7,32,1.0,49
latent,7,33,1.0,49
latent,7,34,1.0,49
latent,7,35,1.0,49
latent,7,36,1.0,49
latent,7,37,1.0,49
latent,7,38,1.0,49
latent,7,39,1.0,49
latent,7,40,1.0,49
latent,7,41,1.0,49
latent,7,42,1.0,49
latent,7,43,1.0,49
latent,7,44,1.0,49
latent,7,45,1.0,49
latent,7,46,1.0,49
latent,7,47,1.0,49
latent,7,48,1.0,49
latent,7,49,1.0,49
latent,8,0,0.0,50
latent,8,1,1.0,50
latent,8,2,1.0,50
latent,8,3,1.0,50
latent,8,4,1.0,50
latent,8,5,1.0,50
latent,8,6,1.0,50
latent,8,7,1.0,50
latent,8,8,1.0,50
latent,8,9,1.0,50
latent,8,10,1.0,50
latent,8,11,1.0,50
latent,8,12,1.0,50
latent,8,13,1.0,50
latent,8,14,1.0,50
latent,8,15,1.0,50
latent,8,16,1.0,50
latent,8,17,1.0,50
latent,8,18,1.0,50
latent,8,19,1.0,50
latent,8,20,1.0,50
latent,8,21,1.0,50
latent,8,22,1.0,50
latent,8,23,1.0,50
latent,8,24,1.0,50
latent,8,25,1.0,50
latent,8,26,1.0,50
latent,8,27,1.0,50
latent,8,28,1.0,50
latent,8,29,1.0,50
latent,8,30,1.0,50
latent,8,31,1.0,50
latent,8,32,1.0,50
latent,8,33,1.0,50
latent,8,34,1.0,50
latent,8,35,1.0,50
latent,8,36,1.0,50
latent,8,37,1.0,50
latent,8,38,1.0,50
latent,8,39,1.0,50
latent,8,40,1.0,50
latent,8,41,1.0,50
latent,8,42,1.0,50
latent,8,43,1.0,50
latent,8,44,1.0,50
latent,8,45,1.0,50
latent,8,46,1.0,50
latent,8,47,1.0,50
latent,8,48,1.0,50
latent,8,49,1.0,50
latent,9,0,1.0,51
latent,9,1,1.0,51
latent,9,2,1.0,51
latent,9,3,1.0,51
latent,9,4,1.0,51
latent,9,5,1.0,51
latent,9,6,1.0,51
latent,9,7,1.0,51
latent,9,8,1.0,51
latent,9,9,1.0,51
latent,9,10,1.0,51
latent,9,11,1.0,51
latent,9,12,1.0,51
latent,9,13,1.0,51
latent,9,14,1.0,51
latent,9,15,1.0,51
latent,9,16,1.0,51
latent,9,17,1.0,51
latent,9,18,1.0,51
latent,9,19,1.0,51
latent,9,20,1.0,51
latent,9,21,1.0,51
latent,9,22,1.0,51
latent,9,23,1.0,51
latent,9,24,1.0,51
latent,9,25,1.0,51
latent,9,26,1.0,51
latent,9,27,1.0,51
latent,9,28,1.0,51
latent,9,29,1.0,51
latent,9,30,1.0,51
latent,9,31,1.0,51
latent,9,32,1.0,51
latent,9,33,1.0,51
latent,9,34,1.0,51
latent,9,35,1.0,51
latent,9,36,1.0,51
latent,9,37,1.0,51
latent,9,38,1.0,51
latent,9,39,1.0,51
latent,9,40,1.0,51
latent,9,41,1.0,51
latent,9,42,1.0,51
latent,9,43,1.0,51
latent,9,44,1.0,51
latent,9,45,1.0,51
latent,9,46,1.0,51
latent,9,47,1.0,51
latent,9,48,1.0,51
latent,9,49,1.0,51
